Month,Day,Hour,Hour_simulation,,"Day_type(0,1)","Building_opening_hours(0,1)","Building_use_intensity(0,1)",External temperture (ºC),Indoor_temperature.FF_θair(ºC) ,,Heating_thermal_load(kW),Cooling_thermal_load(kW),Indoor_temperature.Set-point_θair(ºC) ,,Energy_Heating(kW),Energy_Cooling(kW),Energy_Ventilation(kW),Hot_water(kW),Lighting(kW),Building_background/standby(kW),Others(kW)
Jan,1,1,1,,1,1,0.77,-18,14.96,,86.25,0.00,22.00,,85.20,0.00,0.00,0.61,6.04,6.53,3.76
Jan,1,2,2,,1,1,0.77,-16.6,14.57,,80.96,0.00,22.00,,79.86,0.00,0.00,0.61,6.04,6.53,3.76
Jan,1,3,3,,1,1,0.77,-15.3,14.20,,76.17,0.00,22.00,,75.03,0.00,0.00,0.61,6.04,6.53,3.76
Jan,1,4,4,,1,1,0.77,-14.4,13.83,,72.13,0.00,22.00,,70.98,0.00,0.00,0.61,6.04,6.53,3.76
Jan,1,5,5,,1,1,0.77,-13,13.53,,67.93,0.00,22.00,,66.76,0.00,0.00,0.61,6.04,6.53,3.76
Jan,1,6,6,,1,1,0.77,-11.1,13.30,,63.47,0.00,22.00,,62.30,0.00,0.00,0.61,6.04,6.53,3.76
Jan,1,7,7,,1,1,1.00,-9.7,11.94,,455.69,0.00,22.00,,482.93,0.00,14.70,0.80,7.88,6.53,4.91
Jan,1,8,8,,1,1,1.00,-7.7,11.98,,409.62,0.00,22.00,,429.77,0.00,14.70,0.80,7.88,6.53,4.91
Jan,1,9,9,,1,1,1.00,-5.9,11.96,,373.50,0.00,22.00,,388.83,0.00,14.70,0.80,7.88,6.53,4.91
Jan,1,10,10,,1,1,1.00,-2.2,12.46,,303.77,0.00,22.00,,311.58,0.00,14.70,0.80,7.88,6.53,4.91
Jan,1,11,11,,1,1,1.00,1.4,13.04,,237.75,0.00,22.00,,240.52,0.00,14.70,0.80,7.88,6.53,4.91
Jan,1,12,12,,1,1,1.00,2.8,13.41,,194.02,0.00,22.00,,194.53,0.00,14.70,0.80,7.88,6.53,4.91
Jan,1,13,13,,1,1,1.00,4.4,13.74,,159.31,0.00,22.00,,158.60,0.00,14.70,0.80,7.88,6.53,4.91
Jan,1,14,14,,1,1,1.00,3.3,13.78,,149.70,0.00,22.00,,148.74,0.00,14.70,0.80,7.88,6.53,4.91
Jan,1,15,15,,1,1,1.00,3.9,13.90,,135.32,0.00,22.00,,134.07,0.00,14.70,0.80,7.88,6.53,4.91
Jan,1,16,16,,1,1,1.00,2.2,13.69,,146.84,0.00,22.00,,145.82,0.00,14.70,0.80,7.88,6.53,4.91
Jan,1,17,17,,1,1,1.00,-0.6,13.15,,181.41,0.00,22.00,,181.41,0.00,14.70,0.80,7.88,6.53,4.91
Jan,1,18,18,,1,1,1.00,-2.2,12.76,,201.68,0.00,22.00,,202.53,0.00,14.70,0.80,7.88,6.53,4.91
Jan,1,19,19,,1,1,1.00,-5,12.18,,233.36,0.00,22.00,,235.87,0.00,14.70,0.80,7.88,6.53,4.91
Jan,1,20,20,,1,1,1.00,-5.6,11.83,,245.06,0.00,22.00,,248.30,0.00,14.70,0.80,7.88,6.53,4.91
Jan,1,21,21,,1,1,1.00,-6.1,11.49,,255.31,0.00,22.00,,259.24,0.00,14.70,0.80,7.88,6.53,4.91
Jan,1,22,22,,1,1,0.77,-6.1,11.90,,30.26,0.00,22.00,,29.43,0.00,0.00,0.61,6.04,6.53,3.76
Jan,1,23,23,,1,1,0.77,-6.1,11.67,,31.25,0.00,22.00,,30.40,0.00,0.00,0.61,6.04,6.53,3.76
Jan,1,24,24,,1,1,0.77,-5,11.54,,31.00,0.00,22.00,,30.15,0.00,0.00,0.61,6.04,6.53,3.76
Jan,2,1,25,,1,1,0.77,-5,11.34,,31.64,0.00,22.00,,30.78,0.00,0.00,0.61,6.04,6.53,3.76
Jan,2,2,26,,1,1,0.77,-5.6,11.09,,32.80,0.00,22.00,,31.92,0.00,0.00,0.61,6.04,6.53,3.76
Jan,2,3,27,,1,1,0.77,-5,10.94,,32.72,0.00,22.00,,31.85,0.00,0.00,0.61,6.04,6.53,3.76
Jan,2,4,28,,1,1,0.77,-6.7,10.61,,34.85,0.00,22.00,,33.94,0.00,0.00,0.61,6.04,6.53,3.76
Jan,2,5,29,,1,1,0.77,-5.6,10.49,,34.24,0.00,22.00,,33.34,0.00,0.00,0.61,6.04,6.53,3.76
Jan,2,6,30,,1,1,0.77,-6.1,10.25,,35.09,0.00,22.00,,34.17,0.00,0.00,0.61,6.04,6.53,3.76
Jan,2,7,31,,1,1,1.00,-4.4,9.48,,288.22,0.00,22.00,,294.67,0.00,14.70,0.80,7.88,6.53,4.91
Jan,2,8,32,,1,1,1.00,-2.8,9.67,,257.69,0.00,22.00,,261.78,0.00,14.70,0.80,7.88,6.53,4.91
Jan,2,9,33,,1,1,1.00,-1.7,9.74,,239.63,0.00,22.00,,242.53,0.00,14.70,0.80,7.88,6.53,4.91
Jan,2,10,34,,1,1,1.00,2.2,10.37,,182.95,0.00,22.00,,183.02,0.00,14.70,0.80,7.88,6.53,4.91
Jan,2,11,35,,1,1,1.00,5.6,11.15,,121.68,0.00,22.00,,120.22,0.00,14.70,0.80,7.88,6.53,4.91
Jan,2,12,36,,1,1,1.00,8.9,11.82,,75.70,0.00,22.00,,74.11,0.00,14.70,0.80,7.88,6.53,4.91
Jan,2,13,37,,1,1,1.00,9.4,12.20,,55.29,0.00,22.00,,53.91,0.00,14.70,0.80,7.88,6.53,4.91
Jan,2,14,38,,1,1,1.00,9.4,12.44,,47.54,0.00,22.00,,46.28,0.00,14.70,0.80,7.88,6.53,4.91
Jan,2,15,39,,1,1,1.00,10,12.80,,32.14,0.00,22.00,,31.20,0.00,14.70,0.80,7.88,6.53,4.91
Jan,2,16,40,,1,1,1.00,7.8,12.66,,54.95,0.00,22.00,,53.57,0.00,14.70,0.80,7.88,6.53,4.91
Jan,2,17,41,,1,1,1.00,6.7,12.51,,75.08,0.00,22.00,,73.50,0.00,14.70,0.80,7.88,6.53,4.91
Jan,2,18,42,,1,1,1.00,5,12.29,,97.61,0.00,22.00,,95.97,0.00,14.70,0.80,7.88,6.53,4.91
Jan,2,19,43,,1,1,1.00,1.1,11.76,,140.81,0.00,22.00,,139.66,0.00,14.70,0.80,7.88,6.53,4.91
Jan,2,20,44,,1,1,1.00,0,11.51,,158.80,0.00,22.00,,158.08,0.00,14.70,0.80,7.88,6.53,4.91
Jan,2,21,45,,1,1,1.00,-1.7,11.16,,181.98,0.00,22.00,,182.01,0.00,14.70,0.80,7.88,6.53,4.91
Jan,2,22,46,,1,1,0.77,-1.1,11.49,,19.96,0.00,22.00,,19.36,0.00,0.00,0.61,6.04,6.53,3.76
Jan,2,23,47,,1,1,0.77,0.6,11.51,,19.48,0.00,22.00,,18.89,0.00,0.00,0.61,6.04,6.53,3.76
Jan,2,24,48,,1,1,0.77,0,11.36,,21.01,0.00,22.00,,20.38,0.00,0.00,0.61,6.04,6.53,3.76
Jan,3,1,49,,1,1,0.77,-0.6,11.21,,22.47,0.00,22.00,,21.81,0.00,0.00,0.61,6.04,6.53,3.76
Jan,3,2,50,,1,1,0.77,-0.6,11.10,,23.26,0.00,22.00,,22.58,0.00,0.00,0.61,6.04,6.53,3.76
Jan,3,3,51,,1,1,0.77,-1.1,10.95,,24.45,0.00,22.00,,23.74,0.00,0.00,0.61,6.04,6.53,3.76
Jan,3,4,52,,1,1,0.77,-1.7,10.78,,25.69,0.00,22.00,,24.96,0.00,0.00,0.61,6.04,6.53,3.76
Jan,3,5,53,,1,1,0.77,-1.7,10.66,,26.30,0.00,22.00,,25.55,0.00,0.00,0.61,6.04,6.53,3.76
Jan,3,6,54,,1,1,0.77,-1.1,10.58,,26.22,0.00,22.00,,25.47,0.00,0.00,0.61,6.04,6.53,3.76
Jan,3,7,55,,1,1,1.00,-1.1,9.90,,235.78,0.00,22.00,,238.44,0.00,14.70,0.80,7.88,6.53,4.91
Jan,3,8,56,,1,1,1.00,-0.6,10.01,,217.59,0.00,22.00,,219.22,0.00,14.70,0.80,7.88,6.53,4.91
Jan,3,9,57,,1,1,1.00,3.3,10.49,,174.24,0.00,22.00,,173.99,0.00,14.70,0.80,7.88,6.53,4.91
Jan,3,10,58,,1,1,1.00,5.6,10.94,,138.06,0.00,22.00,,136.85,0.00,14.70,0.80,7.88,6.53,4.91
Jan,3,11,59,,1,1,1.00,6.1,11.37,,107.72,0.00,22.00,,106.13,0.00,14.70,0.80,7.88,6.53,4.91
Jan,3,12,60,,1,1,1.00,6.7,11.85,,77.27,0.00,22.00,,75.67,0.00,14.70,0.80,7.88,6.53,4.91
Jan,3,13,61,,1,1,1.00,5.6,12.05,,70.51,0.00,22.00,,68.96,0.00,14.70,0.80,7.88,6.53,4.91
Jan,3,14,62,,1,1,1.00,4.6,12.17,,69.47,0.00,22.00,,67.92,0.00,14.70,0.80,7.88,6.53,4.91
Jan,3,15,63,,1,1,1.00,2.3,12.01,,89.44,0.00,22.00,,87.80,0.00,14.70,0.80,7.88,6.53,4.91
Jan,3,16,64,,1,1,1.00,-0.3,11.63,,123.17,0.00,22.00,,121.72,0.00,14.70,0.80,7.88,6.53,4.91
Jan,3,17,65,,1,1,1.00,-3,11.11,,163.45,0.00,22.00,,162.86,0.00,14.70,0.80,7.88,6.53,4.91
Jan,3,18,66,,1,1,1.00,-5.8,10.55,,201.74,0.00,22.00,,202.58,0.00,14.70,0.80,7.88,6.53,4.91
Jan,3,19,67,,1,1,1.00,-5.6,10.33,,211.62,0.00,22.00,,212.94,0.00,14.70,0.80,7.88,6.53,4.91
Jan,3,20,68,,1,1,1.00,-7.2,9.88,,236.75,0.00,22.00,,239.47,0.00,14.70,0.80,7.88,6.53,4.91
Jan,3,21,69,,1,1,1.00,-8.8,9.40,,261.35,0.00,22.00,,265.70,0.00,14.70,0.80,7.88,6.53,4.91
Jan,3,22,70,,1,1,0.77,-9.9,9.74,,31.42,0.00,22.00,,30.57,0.00,0.00,0.61,6.04,6.53,3.76
Jan,3,23,71,,1,1,0.77,-11.4,9.36,,34.64,0.00,22.00,,33.73,0.00,0.00,0.61,6.04,6.53,3.76
Jan,3,24,72,,1,1,0.77,-12.4,9.00,,37.26,0.00,22.00,,36.31,0.00,0.00,0.61,6.04,6.53,3.76
Jan,4,1,73,,1,1,0.77,-13.5,8.62,,39.85,0.00,22.00,,38.86,0.00,0.00,0.61,6.04,6.53,3.76
Jan,4,2,74,,1,1,0.77,-16.2,8.09,,43.97,0.00,22.00,,42.92,0.00,0.00,0.61,6.04,6.53,3.76
Jan,4,3,75,,1,1,0.77,-16.2,7.75,,45.41,0.00,22.00,,44.35,0.00,0.00,0.61,6.04,6.53,3.76
Jan,4,4,76,,1,1,0.77,-14.7,7.53,,45.13,0.00,22.00,,44.08,0.00,0.00,0.61,6.04,6.53,3.76
Jan,4,5,77,,1,1,0.77,-14.2,7.27,,45.57,0.00,22.00,,44.50,0.00,0.00,0.61,6.04,6.53,3.76
Jan,4,6,78,,1,1,0.77,-13.3,7.05,,45.42,0.00,22.00,,44.36,0.00,0.00,0.61,6.04,6.53,3.76
Jan,4,7,79,,1,1,1.00,-11.8,5.98,,376.61,0.00,22.00,,392.33,0.00,14.70,0.80,7.88,6.53,4.91
Jan,4,8,80,,1,1,1.00,-9.1,6.24,,335.15,0.00,22.00,,346.06,0.00,14.70,0.80,7.88,6.53,4.91
Jan,4,9,81,,1,1,1.00,-5.9,6.49,,299.31,0.00,22.00,,306.72,0.00,14.70,0.80,7.88,6.53,4.91
Jan,4,10,82,,1,1,1.00,-0.5,7.14,,238.83,0.00,22.00,,241.68,0.00,14.70,0.80,7.88,6.53,4.91
Jan,4,11,83,,1,1,1.00,3.3,7.68,,193.81,0.00,22.00,,194.31,0.00,14.70,0.80,7.88,6.53,4.91
Jan,4,12,84,,1,1,1.00,3.8,7.90,,176.96,0.00,22.00,,176.81,0.00,14.70,0.80,7.88,6.53,4.91
Jan,4,13,85,,1,1,1.00,8,8.56,,130.12,0.00,22.00,,128.78,0.00,14.70,0.80,7.88,6.53,4.91
Jan,4,14,86,,1,1,1.00,9.6,8.96,,106.95,0.00,22.00,,105.36,0.00,14.70,0.80,7.88,6.53,4.91
Jan,4,15,87,,1,1,1.00,11.1,9.37,,85.46,0.00,22.00,,83.83,0.00,14.70,0.80,7.88,6.53,4.91
Jan,4,16,88,,1,1,1.00,10,9.44,,91.73,0.00,22.00,,90.09,0.00,14.70,0.80,7.88,6.53,4.91
Jan,4,17,89,,1,1,1.00,7.2,9.23,,117.17,0.00,22.00,,115.66,0.00,14.70,0.80,7.88,6.53,4.91
Jan,4,18,90,,1,1,1.00,7.2,9.33,,117.09,0.00,22.00,,115.58,0.00,14.70,0.80,7.88,6.53,4.91
Jan,4,19,91,,1,1,1.00,6.1,9.28,,127.36,0.00,22.00,,125.97,0.00,14.70,0.80,7.88,6.53,4.91
Jan,4,20,92,,1,1,1.00,7.2,9.49,,117.50,0.00,22.00,,116.00,0.00,14.70,0.80,7.88,6.53,4.91
Jan,4,21,93,,1,1,1.00,6.1,9.44,,127.71,0.00,22.00,,126.34,0.00,14.70,0.80,7.88,6.53,4.91
Jan,4,22,94,,1,1,0.77,5.6,9.44,,15.37,0.00,22.00,,14.88,0.00,0.00,0.61,6.04,6.53,3.76
Jan,4,23,95,,1,1,0.77,5,9.42,,16.31,0.00,22.00,,15.80,0.00,0.00,0.61,6.04,6.53,3.76
Jan,4,24,96,,1,1,0.77,10,9.86,,11.60,0.00,22.00,,11.22,0.00,0.00,0.61,6.04,6.53,3.76
Jan,5,1,97,,1,1,0.77,5,9.56,,16.50,0.00,22.00,,15.99,0.00,0.00,0.61,6.04,6.53,3.76
Jan,5,2,98,,1,1,0.77,10.6,10.05,,11.15,0.00,22.00,,10.79,0.00,0.00,0.61,6.04,6.53,3.76
Jan,5,3,99,,1,1,0.77,11.1,10.21,,10.41,0.00,22.00,,10.07,0.00,0.00,0.61,6.04,6.53,3.76
Jan,5,4,100,,1,1,0.77,9.4,10.19,,11.89,0.00,22.00,,11.50,0.00,0.00,0.61,6.04,6.53,3.76
Jan,5,5,101,,1,1,0.77,9.4,10.28,,11.83,0.00,22.00,,11.45,0.00,0.00,0.61,6.04,6.53,3.76
Jan,5,6,102,,1,1,0.77,9.4,10.38,,11.78,0.00,22.00,,11.40,0.00,0.00,0.61,6.04,6.53,3.76
Jan,5,7,103,,1,1,1.00,5,9.85,,154.17,0.00,22.00,,153.32,0.00,14.70,0.80,7.88,6.53,4.91
Jan,5,8,104,,1,1,1.00,10,10.73,,90.07,0.00,22.00,,88.43,0.00,14.70,0.80,7.88,6.53,4.91
Jan,5,9,105,,1,1,1.00,8.9,11.00,,78.75,0.00,22.00,,77.14,0.00,14.70,0.80,7.88,6.53,4.91
Jan,5,10,106,,1,1,1.00,12.8,11.94,,18.41,0.00,22.00,,17.82,0.00,14.70,0.80,7.88,6.53,4.91
Jan,5,11,107,,1,1,1.00,12.8,12.46,,0.00,3.91,22.05,,0.00,14.91,14.70,0.80,7.88,6.53,4.91
Jan,5,12,108,,1,1,1.00,15,13.29,,0.00,48.18,22.66,,0.00,20.17,14.70,0.80,7.88,6.53,4.91
Jan,5,13,109,,1,1,1.00,14.4,13.76,,0.00,65.46,22.89,,0.00,23.24,14.70,0.80,7.88,6.53,4.91
Jan,5,14,110,,1,1,1.00,12.8,14.03,,0.00,69.41,22.94,,0.00,23.06,14.70,0.80,7.88,6.53,4.91
Jan,5,15,111,,1,1,1.00,10,13.96,,0.00,47.62,22.65,,0.00,17.68,14.70,0.80,7.88,6.53,4.91
Jan,5,16,112,,1,1,1.00,8.3,13.90,,0.00,28.05,22.38,,0.00,14.75,14.70,0.80,7.88,6.53,4.91
Jan,5,17,113,,1,1,1.00,5.6,13.52,,15.47,0.00,22.00,,14.96,0.00,14.70,0.80,7.88,6.53,4.91
Jan,5,18,114,,1,1,1.00,5.6,13.47,,32.04,0.00,22.00,,31.10,0.00,14.70,0.80,7.88,6.53,4.91
Jan,5,19,115,,1,1,1.00,3.9,13.21,,62.34,0.00,22.00,,60.87,0.00,14.70,0.80,7.88,6.53,4.91
Jan,5,20,116,,1,1,1.00,3.3,13.05,,81.23,0.00,22.00,,79.61,0.00,14.70,0.80,7.88,6.53,4.91
Jan,5,21,117,,1,1,1.00,1.7,12.75,,108.05,0.00,22.00,,106.46,0.00,14.70,0.80,7.88,6.53,4.91
Jan,5,22,118,,1,1,0.77,0,12.85,,12.18,0.00,22.00,,11.78,0.00,0.00,0.61,6.04,6.53,3.76
Jan,5,23,119,,1,1,0.77,0.6,12.77,,13.62,0.00,22.00,,13.18,0.00,0.00,0.61,6.04,6.53,3.76
Jan,5,24,120,,1,1,0.77,0,12.60,,15.94,0.00,22.00,,15.44,0.00,0.00,0.61,6.04,6.53,3.76
Jan,6,1,121,,1,1,0.77,0,12.47,,17.48,0.00,22.00,,16.94,0.00,0.00,0.61,6.04,6.53,3.76
Jan,6,2,122,,1,1,0.77,1.1,12.44,,17.69,0.00,22.00,,17.15,0.00,0.00,0.61,6.04,6.53,3.76
Jan,6,3,123,,1,1,0.77,0.6,12.30,,19.25,0.00,22.00,,18.66,0.00,0.00,0.61,6.04,6.53,3.76
Jan,6,4,124,,1,1,0.77,0,12.14,,20.81,0.00,22.00,,20.18,0.00,0.00,0.61,6.04,6.53,3.76
Jan,6,5,125,,1,1,0.77,-0.6,11.97,,22.29,0.00,22.00,,21.63,0.00,0.00,0.61,6.04,6.53,3.76
Jan,6,6,126,,1,1,0.77,0,11.89,,22.50,0.00,22.00,,21.84,0.00,0.00,0.61,6.04,6.53,3.76
Jan,6,7,127,,1,1,1.00,-0.6,11.12,,217.69,0.00,22.00,,219.32,0.00,14.70,0.80,7.88,6.53,4.91
Jan,6,8,128,,1,1,1.00,-0.6,11.15,,205.63,0.00,22.00,,206.66,0.00,14.70,0.80,7.88,6.53,4.91
Jan,6,9,129,,1,1,1.00,-0.6,11.22,,192.13,0.00,22.00,,192.56,0.00,14.70,0.80,7.88,6.53,4.91
Jan,6,10,130,,1,1,1.00,0,11.43,,170.00,0.00,22.00,,169.61,0.00,14.70,0.80,7.88,6.53,4.91
Jan,6,11,131,,1,1,1.00,0,11.74,,143.37,0.00,22.00,,142.27,0.00,14.70,0.80,7.88,6.53,4.91
Jan,6,12,132,,1,1,1.00,1.1,12.12,,113.98,0.00,22.00,,112.44,0.00,14.70,0.80,7.88,6.53,4.91
Jan,6,13,133,,1,1,1.00,1.7,12.45,,92.33,0.00,22.00,,90.68,0.00,14.70,0.80,7.88,6.53,4.91
Jan,6,14,134,,1,1,1.00,1.1,12.58,,86.96,0.00,22.00,,85.32,0.00,14.70,0.80,7.88,6.53,4.91
Jan,6,15,135,,1,1,1.00,1.7,12.78,,77.59,0.00,22.00,,75.98,0.00,14.70,0.80,7.88,6.53,4.91
Jan,6,16,136,,1,1,1.00,0.6,12.67,,92.13,0.00,22.00,,90.49,0.00,14.70,0.80,7.88,6.53,4.91
Jan,6,17,137,,1,1,1.00,-0.6,12.30,,123.37,0.00,22.00,,121.93,0.00,14.70,0.80,7.88,6.53,4.91
Jan,6,18,138,,1,1,1.00,-1.7,11.99,,146.81,0.00,22.00,,145.79,0.00,14.70,0.80,7.88,6.53,4.91
Jan,6,19,139,,1,1,1.00,-3.3,11.60,,173.72,0.00,22.00,,173.46,0.00,14.70,0.80,7.88,6.53,4.91
Jan,6,20,140,,1,1,1.00,-4.4,11.24,,195.16,0.00,22.00,,195.71,0.00,14.70,0.80,7.88,6.53,4.91
Jan,6,21,141,,1,1,1.00,-6.1,10.79,,221.30,0.00,22.00,,223.13,0.00,14.70,0.80,7.88,6.53,4.91
Jan,6,22,142,,1,1,0.77,-7.8,11.04,,26.83,0.00,22.00,,26.07,0.00,0.00,0.61,6.04,6.53,3.76
Jan,6,23,143,,1,1,0.77,-7.8,10.80,,28.67,0.00,22.00,,27.87,0.00,0.00,0.61,6.04,6.53,3.76
Jan,6,24,144,,1,1,0.77,-8.9,10.47,,31.38,0.00,22.00,,30.53,0.00,0.00,0.61,6.04,6.53,3.76
Jan,7,1,145,,1,1,0.77,-8.9,10.21,,32.86,0.00,22.00,,31.98,0.00,0.00,0.61,6.04,6.53,3.76
Jan,7,2,146,,1,1,0.77,-8.3,10.02,,33.53,0.00,22.00,,32.64,0.00,0.00,0.61,6.04,6.53,3.76
Jan,7,3,147,,1,1,0.77,-10.6,9.59,,36.91,0.00,22.00,,35.96,0.00,0.00,0.61,6.04,6.53,3.76
Jan,7,4,148,,1,1,0.77,-12.2,9.19,,39.64,0.00,22.00,,38.66,0.00,0.00,0.61,6.04,6.53,3.76
Jan,7,5,149,,1,1,0.77,-13.9,8.76,,42.48,0.00,22.00,,41.45,0.00,0.00,0.61,6.04,6.53,3.76
Jan,7,6,150,,1,1,0.77,-12.8,8.54,,42.48,0.00,22.00,,41.45,0.00,0.00,0.61,6.04,6.53,3.76
Jan,7,7,151,,1,1,1.00,-12.8,7.21,,373.76,0.00,22.00,,389.12,0.00,14.70,0.80,7.88,6.53,4.91
Jan,7,8,152,,1,1,1.00,-2.8,8.30,,269.44,0.00,22.00,,274.40,0.00,14.70,0.80,7.88,6.53,4.91
Jan,7,9,153,,1,1,1.00,-0.6,8.48,,244.25,0.00,22.00,,247.44,0.00,14.70,0.80,7.88,6.53,4.91
Jan,7,10,154,,1,1,1.00,1.1,8.66,,221.91,0.00,22.00,,223.77,0.00,14.70,0.80,7.88,6.53,4.91
Jan,7,11,155,,1,1,1.00,2.8,8.90,,198.23,0.00,22.00,,198.92,0.00,14.70,0.80,7.88,6.53,4.91
Jan,7,12,156,,1,1,1.00,5,9.25,,169.64,0.00,22.00,,169.24,0.00,14.70,0.80,7.88,6.53,4.91
Jan,7,13,157,,1,1,1.00,5.6,9.43,,156.26,0.00,22.00,,155.47,0.00,14.70,0.80,7.88,6.53,4.91
Jan,7,14,158,,1,1,1.00,5,9.45,,155.82,0.00,22.00,,155.01,0.00,14.70,0.80,7.88,6.53,4.91
Jan,7,15,159,,1,1,1.00,5,9.52,,152.16,0.00,22.00,,151.27,0.00,14.70,0.80,7.88,6.53,4.91
Jan,7,16,160,,1,1,1.00,4.4,9.49,,156.10,0.00,22.00,,155.31,0.00,14.70,0.80,7.88,6.53,4.91
Jan,7,17,161,,1,1,1.00,5,9.58,,150.60,0.00,22.00,,149.67,0.00,14.70,0.80,7.88,6.53,4.91
Jan,7,18,162,,1,1,1.00,5.6,9.70,,144.28,0.00,22.00,,143.20,0.00,14.70,0.80,7.88,6.53,4.91
Jan,7,19,163,,1,1,1.00,5,9.67,,149.03,0.00,22.00,,148.06,0.00,14.70,0.80,7.88,6.53,4.91
Jan,7,20,164,,1,1,1.00,4.4,9.62,,154.21,0.00,22.00,,153.37,0.00,14.70,0.80,7.88,6.53,4.91
Jan,7,21,165,,1,1,1.00,2.2,9.36,,174.83,0.00,22.00,,174.60,0.00,14.70,0.80,7.88,6.53,4.91
Jan,7,22,166,,1,1,0.77,-0.6,9.26,,23.58,0.00,22.00,,22.89,0.00,0.00,0.61,6.04,6.53,3.76
Jan,7,23,167,,1,1,0.77,0,9.24,,23.61,0.00,22.00,,22.92,0.00,0.00,0.61,6.04,6.53,3.76
Jan,7,24,168,,1,1,0.77,1.7,9.32,,22.39,0.00,22.00,,21.73,0.00,0.00,0.61,6.04,6.53,3.76
Jan,8,1,169,,1,1,0.77,1.7,9.28,,22.67,0.00,22.00,,22.00,0.00,0.00,0.61,6.04,6.53,3.76
Jan,8,2,170,,1,1,0.77,1.1,9.20,,23.51,0.00,22.00,,22.83,0.00,0.00,0.61,6.04,6.53,3.76
Jan,8,3,171,,1,1,0.77,-0.6,9.02,,25.50,0.00,22.00,,24.76,0.00,0.00,0.61,6.04,6.53,3.76
Jan,8,4,172,,1,1,0.77,-1.7,8.85,,26.99,0.00,22.00,,26.23,0.00,0.00,0.61,6.04,6.53,3.76
Jan,8,5,173,,1,1,0.77,-3.3,8.63,,29.04,0.00,22.00,,28.23,0.00,0.00,0.61,6.04,6.53,3.76
Jan,8,6,174,,1,1,0.77,-3.3,8.52,,29.56,0.00,22.00,,28.74,0.00,0.00,0.61,6.04,6.53,3.76
Jan,8,7,175,,1,1,1.00,-4.4,7.69,,273.48,0.00,22.00,,278.74,0.00,14.70,0.80,7.88,6.53,4.91
Jan,8,8,176,,1,1,1.00,-2.8,7.93,,244.34,0.00,22.00,,247.54,0.00,14.70,0.80,7.88,6.53,4.91
Jan,8,9,177,,1,1,1.00,2.2,8.71,,179.06,0.00,22.00,,178.98,0.00,14.70,0.80,7.88,6.53,4.91
Jan,8,10,178,,1,1,1.00,5,9.41,,127.59,0.00,22.00,,126.21,0.00,14.70,0.80,7.88,6.53,4.91
Jan,8,11,179,,1,1,1.00,7.2,10.01,,88.17,0.00,22.00,,86.53,0.00,14.70,0.80,7.88,6.53,4.91
Jan,8,12,180,,1,1,1.00,7.8,10.52,,60.88,0.00,22.00,,59.42,0.00,14.70,0.80,7.88,6.53,4.91
Jan,8,13,181,,1,1,1.00,10.6,11.32,,14.50,0.00,22.00,,14.02,0.00,14.70,0.80,7.88,6.53,4.91
Jan,8,14,182,,1,1,1.00,10.6,11.82,,0.00,5.03,22.07,,0.00,14.25,14.70,0.80,7.88,6.53,4.91
Jan,8,15,183,,1,1,1.00,7.8,11.85,,10.45,0.00,22.00,,10.10,0.00,14.70,0.80,7.88,6.53,4.91
Jan,8,16,184,,1,1,1.00,6.7,11.95,,20.41,0.00,22.00,,19.77,0.00,14.70,0.80,7.88,6.53,4.91
Jan,8,17,185,,1,1,1.00,4.4,11.60,,61.57,0.00,22.00,,60.11,0.00,14.70,0.80,7.88,6.53,4.91
Jan,8,18,186,,1,1,1.00,0.6,11.08,,109.86,0.00,22.00,,108.29,0.00,14.70,0.80,7.88,6.53,4.91
Jan,8,19,187,,1,1,1.00,-0.6,10.82,,133.89,0.00,22.00,,132.61,0.00,14.70,0.80,7.88,6.53,4.91
Jan,8,20,188,,1,1,1.00,-1.7,10.54,,155.87,0.00,22.00,,155.07,0.00,14.70,0.80,7.88,6.53,4.91
Jan,8,21,189,,1,1,1.00,-1.1,10.47,,160.85,0.00,22.00,,160.18,0.00,14.70,0.80,7.88,6.53,4.91
Jan,8,22,190,,1,1,0.77,-2.2,10.63,,18.67,0.00,22.00,,18.10,0.00,0.00,0.61,6.04,6.53,3.76
Jan,8,23,191,,1,1,0.77,-1.7,10.54,,19.83,0.00,22.00,,19.23,0.00,0.00,0.61,6.04,6.53,3.76
Jan,8,24,192,,1,1,0.77,-2.8,10.33,,22.35,0.00,22.00,,21.69,0.00,0.00,0.61,6.04,6.53,3.76
Jan,9,1,193,,1,1,0.77,-3.3,10.15,,24.16,0.00,22.00,,23.46,0.00,0.00,0.61,6.04,6.53,3.76
Jan,9,2,194,,1,1,0.77,-3.3,10.01,,25.34,0.00,22.00,,24.61,0.00,0.00,0.61,6.04,6.53,3.76
Jan,9,3,195,,1,1,0.77,-3.3,9.87,,26.36,0.00,22.00,,25.61,0.00,0.00,0.61,6.04,6.53,3.76
Jan,9,4,196,,1,1,0.77,-3.3,9.73,,27.24,0.00,22.00,,26.47,0.00,0.00,0.61,6.04,6.53,3.76
Jan,9,5,197,,1,1,0.77,-3.9,9.55,,28.61,0.00,22.00,,27.81,0.00,0.00,0.61,6.04,6.53,3.76
Jan,9,6,198,,1,1,0.77,-3.3,9.45,,28.71,0.00,22.00,,27.91,0.00,0.00,0.61,6.04,6.53,3.76
Jan,9,7,199,,1,1,1.00,-5,8.48,,274.95,0.00,22.00,,280.33,0.00,14.70,0.80,7.88,6.53,4.91
