Year,Asset Purchases,Operational Costs,Maintenance Costs,Present Value,Net Present Value,,Gas Price Increases per year:,3.00%
1,"$170,981.79","$29,406.34","$22,007.76","$213,842.20",213842.201923077,,,
2,,"$30,288.53","$22,667.99","$48,961.28",262803.484282544,,Inflation,3.00%
3,,"$31,197.19","$23,348.03","$48,490.50",311293.985080863,,,
4,,"$32,133.10","$24,048.47","$48,024.25",359318.231063813,,Rate of return,4.00%
5,,"$33,097.09","$24,769.93","$47,562.47",406880.705450774,,,
6,,"$34,090.01","$25,513.03","$47,105.14",453985.848353244,,Fan coil price:,$468.00
7,,"$35,112.71","$26,278.42","$46,652.21",500638.057189345,,Fan coil count:,64
8,,"$36,166.09","$27,066.77","$46,203.63",546841.687094329,,Fan coils total cost:,"$29,952.00"
9,,"$37,251.07","$27,878.77","$45,759.36",592601.05132715,,Fan coil replacement period:,20
10,,"$38,368.60","$28,715.14","$45,319.37",637920.421673116,,,
11,,"$39,519.66","$29,576.59","$44,883.61",682804.02884268,,Boiler price:,"$8,259.99"
12,,"$40,705.25","$30,463.89","$44,452.03",727256.062866382,,Boiler count:,1
13,,"$41,926.41","$31,377.80","$44,024.61",771280.67348601,,Boiler cost:,"$8,259.99"
14,,"$43,184.20","$32,319.14","$43,601.30",814881.970541987,,Boiler replacement period:,21
15,,"$44,479.73","$33,288.71","$43,182.05",858064.024357042,,,
16,"$213,056.55","$45,814.12","$34,287.37","$156,519.48",1014583.50163451,,Chiller price:,"$66,384.90"
17,,"$47,188.54","$35,315.99","$42,355.62",1056939.12376135,,Chiller count:,2
18,,"$48,604.20","$36,375.47","$41,948.36",1098887.48029081,,Chiller cost:,"$132,769.80"
19,,"$50,062.33","$37,466.74","$41,545.01",1140432.48723827,,Chiller replacement period:,15
20,,"$51,564.20","$38,590.74","$41,145.54",1181578.02296507,,,
21,"$48,064.17","$53,111.12","$39,748.46","$61,842.08",1243420.10019381,,,
22,"$13,254.86","$54,704.45","$40,940.92","$45,951.04",1289371.13896762,,,
23,,"$56,345.59","$42,169.14","$39,970.02",1329341.16007074,,,
24,,"$58,035.96","$43,434.22","$39,585.69",1368926.85404787,,,
25,,"$59,777.03","$44,737.24","$39,205.06",1408131.91635215,,,
26,,"$61,570.35","$46,079.36","$38,828.09",1446960.0069035,,,
27,,"$63,417.46","$47,461.74","$38,454.74",1485414.75043032,,,
28,,"$65,319.98","$48,885.60","$38,084.99",1523499.73680784,,,
29,,"$67,279.58","$50,352.16","$37,718.78",1561218.52139327,,,
30,,"$69,297.97","$51,862.73","$37,356.10",1598574.62535768,,,
31,"$213,056.55","$71,376.91","$53,418.61","$100,159.71",1698734.33660815,,,
32,,"$73,518.21","$55,021.17","$36,641.17",1735375.50773967,,,
33,,"$75,723.76","$56,671.80","$36,288.85",1771664.359918,,,
34,,"$77,995.47","$58,371.96","$35,939.92",1807604.28082538,,,
35,,"$80,335.34","$60,123.12","$35,594.34",1843198.6255702,,,
36,,"$82,745.40","$61,926.81","$35,252.09",1878450.71700016,,,
37,,"$85,227.76","$63,784.61","$34,913.13",1913363.84601252,,,
38,,"$87,784.59","$65,698.15","$34,577.43",1947941.2718613,,,
39,,"$90,418.13","$67,669.10","$34,244.95",1982186.22246154,,,
40,,"$93,130.67","$69,699.17","$33,915.67",2016101.89469062,,,
41,"$48,064.17","$95,924.59","$71,790.14","$43,215.75",2059317.64649626,,,
42,,"$98,802.33","$73,943.85","$33,266.58",2092584.22995395,,,
43,"$13,254.86","$101,766.40","$76,162.16","$35,401.09",2127985.32085494,,,
44,,"$104,819.39","$78,447.03","$32,629.92",2160615.2380057,,,
45,,"$107,963.97","$80,800.44","$32,316.17",2192931.40595308,,,
46,"$213,056.55","$111,202.89","$83,224.45","$67,077.50",2260008.90257783,,,
47,,"$114,538.98","$85,721.19","$31,697.69",2291706.59356838,,,
48,,"$117,975.15","$88,292.82","$31,392.91",2323099.49906864,,,
49,,"$121,514.40","$90,941.61","$31,091.05",2354190.54970831,,,
50,,"$125,159.84","$93,669.86","$30,792.10",2384982.64793799,,,
