Air temperature(°C),Flow temperature(°C),Heating capacity (kW),Power consumption (kW),COP,Hot water flow rate (m3/h),Water pressure drop (kPa)
-20,25,104.3,39.28,2.66,17.9,98
-15,25,118.8,40.14,2.96,don’t need these values atm,don’t need these values atm
-10,25,135.6,40.87,3.32,,
-5,25,150,39.62,3.79,,
0,25,150,34.15,4.39,,
5,25,150,29.57,5.07,,
10,25,167.9,29.23,5.74,,
15,25,187.3,28.63,6.54,,
20,25,187.3,28.63,6.54,,
25,25,187.3,28.63,6.54,,
-20,30,101.6,41.91,2.42,,
-15,30,117,43,2.72,,
-10,30,134.4,43.94,3.06,,
-5,30,150,43.13,3.48,,
0,30,150,37.44,4.01,,
5,30,150,32.82,4.57,,
10,30,166.8,32.45,5.14,,
15,30,185.7,32.04,5.80,,
20,30,185.7,32.04,5.80,,
25,30,185.7,32.04,5.80,,
-20,35,99,44.76,2.21,,
-15,35,114.8,46.1,2.49,,
-10,35,132.5,47.27,2.80,,
-5,35,150,47.31,3.17,,
0,35,150,41.11,3.65,,
5,35,150,36.38,4.12,,
10,35,165.2,35.8,4.61,,
15,35,183.8,35.56,5.17,,
20,35,183.8,35.56,5.17,,
25,35,183.8,35.56,5.17,,
-20,40,96.6,47.84,2.02,,
-15,40,112.4,49.45,2.27,,
-10,40,129.9,50.87,2.55,,
-5,40,149.2,52.09,2.86,,
0,40,150,45.23,3.32,,
5,40,150,40.27,3.72,,
10,40,163.1,39.27,4.15,,
15,40,181.5,39.2,4.63,,
20,40,181.5,39.2,4.63,,
25,40,181.5,39.2,4.63,,
-20,45,94.4,51.1,1.85,,
-15,45,109.5,63.05,1.74,,
-10,45,126.6,64.73,1.96,,
-5,45,145.5,56.19,2.59,,
0,45,150,49.91,3.01,,
5,45,150,44.53,3.37,,
10,45,160.6,42.86,3.75,,
15,45,178.8,42.95,4.16,,
20,45,178.8,42.95,4.16,,
25,45,178.8,42.95,4.16,,
-20,50,,,#DIV/0!,,
-15,50,,,#DIV/0!,,
-10,50,122.6,58.87,2.08,,
-5,50,140.9,60.56,2.33,,
0,50,147,54.03,2.72,,
5,50,147.2,48.29,3.05,,
10,50,157.5,46.58,3.38,,
15,50,175.7,46.82,3.75,,
20,50,175.7,46.82,3.75,,
25,50,175.7,46.82,3.75,,
-20,55,,,#DIV/0!,,
-15,55,,,#DIV/0!,,
-10,55,,,#DIV/0!,,
-5,55,135.4,65.21,2.08,,
0,55,142.9,58.11,2.46,,
5,55,143.6,52.1,2.76,,
10,55,154,50.42,3.05,,
15,55,172.2,50.8,3.39,,
20,55,172.2,50.8,3.39,,
25,55,,,#DIV/0!,,
